"Customer was redirected to Bancasella.","Cliente reindirizzato al sito di Bancasella."
"BancaSella - Account Settings","BancaSella - Impostazioni Account"
"Language","Lingua"
"Order Prefix","Preffisso ordine"
"Useful to avoid duplicates on multiple installations","Utile per evitare duplicati su installazioni multiple"
"Merchant code","Codice esercente"
"Merchant login","Login esercente"
"Merchant password","Password esercente"
"Currency Code","Codice valuta"
"Fields configuration","Configurazione campi"
"Send Customer Name","Invia il nome del cliente"
"Must be enabled in your Bancasella account","Deve essere abilitato nel tuo account di Bancasella"
"Send Customer Email","Invia l'email del cliente"
"Send Language","Invia la lingua predefinita"
"BancaSella GestPay","BancaSella GestPay"
"Italian","Italiano"
"English","Inglese"
"Spanish","Spagnolo"
"French","Francese"
"German","Tedesco"
"BancaSella Status: %s","Stato Bancasella: %s"
"Remember to correctly configure your BancaSella backend panel while using in production.","Ricorda che devi configurare il tuo account Bancasella prima di poterlo usare in produzione."
"Log in your backend at <a target=""_blank"" href=""%s"">%s</a>","Accedi al tuo pannello su <a target=""_blank"" href=""%s"">%s</a>" 
"Configure your server's public IP","Configura l'IP pubblico del tuo server" 
"Configure your server-to-server URL with ""<b>http://www.yourwebsite.com/msp_bancasella/listener/index</b>""","Configura l'URL server-to-server con ""<b>http://www.yourwebsite.com/msp_bancasella/listener/index</b>"""
"Configure your positive URL with ""<b>http://www.yourwebsite.com/msp_bancasella/gateway/success</b>""","Configura l'URL per le transazioni andate a buon fine con ""<b>http://www.yourwebsite.com/msp_bancasella/gateway/success</b>"""
"Configure your negative URL with ""<b>http://www.yourwebsite.com/msp_bancasella/gateway/failure</b>""","Configura l'URL per le transazioni fallite con ""<b>http://www.yourwebsite.com/msp_bancasella/gateway/failure</b>"""
"By MageSpecialist - <a target="_blank" href="http://www.magespecialist.it">www.magespecialist.it</a>","By MageSpecialist - <a target="_blank" href="http://www.magespecialist.it">www.magespecialist.it</a>"
"Before configuring BancaSella Gateway please fill-in your account information in the dedicated tab to the left under Sales.","Prima di configurare il gateway di BancaSella inserisci le informazioni del tuo account nella sezione dedicata nel men&ugrave; di sinistra sotto la voce Vendite."
"Edit BancaSella account information.","Imposta le informazioni dell'account Bancasella."
"You will be redirected to BancaSella secure payment page when you place an order.","Sarai spostato alla pagina del pagamento sicuro con BancaSella appena confermato l'ordine."
"Redirecting to BancaSella","Inoltro a BancaSella in corso"
"Please wait while you are beeing redirected to BancaSella payment website...","Attendere prego mentre si attende la connessione con il sito di pagamento di BancaSella..."
"Click here to configure BancaSella payment method.","Clicca qui per configurare il metodo di pagamento con BancaSella." 
